Index,address,price,latitude,longitude,raw data
0,3050 birch hollow dr ann arbor,1095.0,42.23897849959804,-83.71850497747207,"{'place_id': 254613549, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8726245, 'boundingbox': ['42.238928499598', '42.239028499598', '-83.718554977472', '-83.718454977472'], 'lat': '42.23897849959804', 'lon': '-83.71850497747207', 'display_name': '3050, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.611}"
1,912 rose ave ann arbor,2000.0,42.262518848484845,-83.73816508080809,"{'place_id': 254599966, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 269674434, 'boundingbox': ['42.262468848485', '42.262568848485', '-83.738215080808', '-83.738115080808'], 'lat': '42.262518848484845', 'lon': '-83.73816508080809', 'display_name': '912, Rose Avenue, Lower Burns Park, Burns Park, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.511}"
3,1505 natalie lane ann arbor,1185.0,42.2939505433245,-83.6833615036768,"{'place_id': 254598836, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 441612496, 'boundingbox': ['42.293900543324', '42.294000543325', '-83.683411503677', '-83.683311503677'], 'lat': '42.2939505433245', 'lon': '-83.6833615036768', 'display_name': '1505, Natalie Lane, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.511}"
4,1505 natalie lane ann arbor,1375.0,42.2939505433245,-83.6833615036768,"{'place_id': 254598836, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 441612496, 'boundingbox': ['42.293900543324', '42.294000543325', '-83.683411503677', '-83.683311503677'], 'lat': '42.2939505433245', 'lon': '-83.6833615036768', 'display_name': '1505, Natalie Lane, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.511}"
6,10910 independence lane ann arbor,952.0,None,None,None
7,3050 birch hollow dr ann arbor,1095.0,42.23897849959804,-83.71850497747207,"{'place_id': 254613549, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8726245, 'boundingbox': ['42.238928499598', '42.239028499598', '-83.718554977472', '-83.718454977472'], 'lat': '42.23897849959804', 'lon': '-83.71850497747207', 'display_name': '3050, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.611}"
8,2167 medford ann arbor,1150.0,42.25712891866572,-83.71197161273146,"{'place_id': 254592197, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 193002481, 'boundingbox': ['42.257078918666', '42.257178918666', '-83.712021612731', '-83.711921612731'], 'lat': '42.25712891866572', 'lon': '-83.71197161273146', 'display_name': '2167, Medford Road, Ann\xa0Arbor\xa0Woods Apartments, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
9,101 lake village ann arbor,1560.0,None,None,None
11,10910 independence lane ann arbor,859.0,None,None,None
12,4873 packard st ann arbor,955.0,42.2476062,-83.7198882,"{'place_id': 193651156, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 482473604, 'boundingbox': ['42.2474427', '42.2478618', '-83.7201069', '-83.7197286'], 'lat': '42.2476062', 'lon': '-83.7198882', 'display_name': 'Packard Street, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America', 'class': 'highway', 'type': 'tertiary', 'importance': 0.5}"
14,10910 independence lane ann arbor,775.0,None,None,None
15,10910 independence lane ann arbor,790.0,None,None,None
16,275 harbor way ann arbor,1399.0,42.248894899999996,-83.74726903728029,"{'place_id': 184121333, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 444986113, 'boundingbox': ['42.2487875', '42.2489669', '-83.7473987', '-83.7471526'], 'lat': '42.248894899999996', 'lon': '-83.74726903728029', 'display_name': 'Harbor House Clubhouse, 275, Harbor Way, Harbor\xa0House of Ann\xa0Arbor, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'building', 'type': 'yes', 'importance': 0.511}"
17,214 south hewitt ann arbor,970.0,None,None,None
18,406 montgomery ann arbor,1290.0,42.27896063832418,-83.7645172302443,"{'place_id': 254588720, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8734511, 'boundingbox': ['42.278910638324', '42.279010638324', '-83.764567230244', '-83.764467230244'], 'lat': '42.27896063832418', 'lon': '-83.7645172302443', 'display_name': '406, Montgomery Avenue, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
19,1610 longshore dr. ann arbor,1475.0,None,None,None
