StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q5,Q55,Q6#1_1,Q6#2_1,Q7#1_1,Q7#2_1,Q8,Q9,Q10,Q11,Q11_7_TEXT,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20#1_1,Q20#2_1,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q31_4_TEXT,Q33,Q33_7_TEXT,Q34,Q35,Q54,Q31_4_TEXT - Parent Topics,Q31_4_TEXT - Sentiment Polarity,Q31_4_TEXT - Sentiment Score,Q31_4_TEXT - Sentiment,Q31_4_TEXT - Topic Sentiment Label,Q31_4_TEXT - Topic Sentiment Score,Q31_4_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you a University of Michigan student who lived in off campus housing last year? (Off-campus housing refers to ANY housing situation that is not directly affiliated with the University.),Please drag the marker to the approximate location of your residence last year (2018-2019),What was the approximate monthly rent per person for your rental property?,How many roommates/housemates did you have?,When did you sign your lease? - Month - 1,When did you sign your lease? - Year - 1,When did you move in? - Month - 1,When did you move in? - Year - 1,What month did your lease start?,What month did your lease end?,Who was your landlord/property manager?,Which utilities included in your rent? - Selected Choice,Which utilities included in your rent? - Other - Text,"Prior to signing the lease, did your landlord/property manager show you the exact unit you would rent (rather than a model unit)?",Did your landlord/property manager give you a copy of the signed lease agreement?,I would rent from my landlord/property manager again.,Please rate your agreement with the following statements. - My rental property did not need repairs at the time of move in,Please rate your agreement with the following statements. - I was satisfied with the overall condition of my property,Please rate your agreement with the following statements. - My landlord/property manager properly maintained the exterior of my rental unit,Please rate your agreement with the following statements. - My landlord/property manager responded quickly to general maintenance concerns,Please rate your agreement with the following statements. - My landlord/property manager responded properly to general maintenance concerns,Please rate your agreement with the following statements. - My landlord/property manager responded quickly to emergency maintenance concerns,Please rate your agreement with the following statements. - It was easy to contact my landlord/property manager,"If your landlord/property manager agreed to complete repairs prior to your move in, how many were completed on time?",How often did you have general maintenance concerns during the last year?,How often did you have emergency maintenance concerns during the last year?,Please rate your agreement with the following statements. - My landlord/property manager provided adequate safety measures for my rental unit.,Please rate your agreement with the following statements. - My landlord/property manager provided 24-hour notice prior to entering my property during non- emergency situations.,Please rate your agreement with the following statements. - My landlord/property manager was cooperative during my move-out.,Please rate your agreement with the following statements. - My landlord/property manager was professional and polite.,Please rate your agreement with the following statements. - I received a fair amount of my security deposit back,Please rate your agreement with the following statements. - I received my security deposit back within a reasonable time frame (6 weeks),When did you receive your security deposit back? (If applicable) - Month - 1,When did you receive your security deposit back? (If applicable) - Year - 1,"Please rate the overall performance of your landlord/property manager (1 being worst, 10 being best).",Were you interviewed by the landlord or housing company before signing a lease?,Did your realtor company/landlord make you feel comfortable during your housing interview?( if you had one),Please rate your agreement with the following statements. - Finding off campus housing was easy,Please rate your agreement with the following statements. - The off campus housing application could be streamlined,Please rate your agreement with the following statements. - I felt frustrated when looking for housing off campus,What is your age?,Are you an undergraduate or graduate student?,What is your year?,What school are you a part of?,Please specify your race.,Do you consider yourself to be Hispanic or Latinx?,What is your gender/gender identity? - Selected Choice,What is your gender/gender identity? - Preferred response not listed (Please specify) - Text,What is your sexual orientation? - Selected Choice,What is your sexual orientation? - Preferred response not listed (Please specify) - Text,What is your parents estimated income?,Do you consider yourself to be financially independent?,Please enter your uniqname below. All results will be kept anonymous.,Q31_4_TEXT - Parent Topics,Q31_4_TEXT - Sentiment Polarity,Q31_4_TEXT - Sentiment Score,Q31_4_TEXT - Sentiment,Q31_4_TEXT - Topic Sentiment Label,Q31_4_TEXT - Topic Sentiment Score,Q31_4_TEXT - Topics
11/23/2019 12:02:40,11/23/2019 12:02:51,Survey Preview,,100,10,True,11/23/2019 12:02:52,R_1CHB5fwURRo2hLX,,,,,42.2709045410156,-83.7267990112305,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/2019 13:52:38,11/24/2019 14:01:42,IP Address,73.145.167.241,100,544,True,11/24/2019 14:01:43,R_2wdJHqDTaPDn48B,,,,,42.2807006835938,-83.7800979614258,anonymous,EN,Yes,"42.273654970203644,-83.74981460061645",1025,3,November,2019,August,2019,August,August,The Yard,"Water,Wifi,Heat,Laundry",,Definitely not,Yes,No,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,,Once or twice a month,Once or twice a semester,Strongly Agree,Disagree,Agree,Disagree,,,,,1,No,,Strongly disagree,Strongly Agree,Strongly Agree,20,Undergraduate,Junior,Public Policy,White,No,Female,,Bisexual,,"Less than $49,000",I am mostly financially independent (I am responsible for more than 50% of my finances),abcd,,,,,,,
11/26/2019 07:04:15,11/26/2019 07:04:23,IP Address,35.1.157.9,100,7,True,11/26/2019 07:04:24,R_tSrxsNk1gvunYUp,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2019 07:04:21,11/26/2019 07:04:28,IP Address,35.1.147.111,100,7,True,11/26/2019 07:04:29,R_2xAe14wfhlyBE4E,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2019 07:04:35,11/26/2019 07:04:42,IP Address,35.2.224.7,100,7,True,11/26/2019 07:04:43,R_2dh9P44nQn6jPTE,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2019 07:04:21,11/26/2019 07:04:52,IP Address,35.3.40.214,100,31,True,11/26/2019 07:04:53,R_1LFH7vmaT3TH7xc,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2019 07:04:50,11/26/2019 07:05:00,IP Address,35.2.57.113,100,9,True,11/26/2019 07:05:01,R_pFSk6h2YFiddUNX,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2019 07:04:17,11/26/2019 07:08:03,IP Address,98.197.94.40,100,225,True,11/26/2019 07:08:03,R_2SfwVEJJ8QJikJM,,,,,29.8323059082031,-95.7360000610352,anonymous,EN,Yes,"42.26993954908295,-83.73442944970702",875,1,November,2017,September,2018,September,August,Cabrio,"Water,Heat,Parking",,Definitely not,Yes,No,Strongly disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,,Once or twice a month,Once or twice a semester,,Strongly disagree,Agree,Agree,Strongly Agree,Strongly Agree,October,2019,4,No,,Disagree,Strongly Agree,Strongly Agree,21,Undergraduate,Junior,LSA,East Asian,No,Female,,Heterosexual,,"$200,000 or more",I am fully financially dependent on other(s),jessrao,,,,,,,
11/26/2019 07:07:54,11/26/2019 07:08:38,IP Address,35.2.92.111,100,43,True,11/26/2019 07:08:38,R_10Zv9E3eEY4j3ny,,,,,42.3067932128906,-83.7059020996094,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
